股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000001,CN,平安银行,-,银行,不良率、拨备覆盖、资本充足率,-,-,11.1%,1.2%,-,90.7%,-,-,未分红/不适用,-6.1%,10,20,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；近5年营收增长偏弱,谨慎观察,Medium,ROE稳定在11%左右，净利润波动小，无亏损，但营收持续负增长（-6.1%），资产负债率高达90.7%，且近5年有一次经营现金流为负，分红不适用。银行高杠杆特性下需关注资产质量。,营收负增长可能反映业务收缩或竞争压力；高资产负债率（90.7%）在利率下行周期可能放大信用风险；经营现金流偶尔为负需关注流动性。,关注营收能否企稳、不良贷款率及拨备覆盖率、净息差变化、资本充足率及分红政策恢复情况。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000002,CN,万  科Ａ,-,通用,ROE、现金流、资产负债率,-,-,5.3%,25.7%,-,76.9%,-,-,未分红/不适用,-15.3%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑,排除,High,10年ROE仅5.3%，且波动高达25.7%；近5年亏损2次，净利润波动剧烈；营收5年CAGR为-15.3%，持续下滑；资产负债率76.9%偏高，财务杠杆风险大。整体财务质量弱，增长前景差。,高负债率（76.9%）增加偿债压力；营收持续负增长，盈利能力不稳定；ROE低且波动大，股东回报差；近5年多次亏损，经营风险高。,关注负债结构变化、营收能否止跌、盈利稳定性改善迹象、现金流状况。,deepseek-chat,否,规则质量评级与AI评级一致
000006,CN,深振业Ａ,-,通用,ROE、现金流、资产负债率,-,-,-3.1%,29.8%,-,62.5%,-,-,未分红/不适用,-4.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,排除,High,10年ROE为-3.1%，且波动高达29.8%，近5年亏损3次，净利润波动剧烈，营收负增长，财务质量明显较弱。,持续亏损、高ROE波动、营收下滑，资产负债率62.5%偏高，无分红记录，现金流可能紧张。,需关注扭亏为盈的持续性、负债结构改善、现金流转正及营收增长拐点。,deepseek-chat,否,规则质量评级与AI评级一致
000007,CN,全新好,-,通用,ROE、现金流、资产负债率,-,-,-0.3%,43.2%,-,48.0%,-,-,未分红/不适用,22.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE为负且波动极大（43.2%），净利润波动剧烈（11.67），近5年有1年亏损，1年经营现金流为负，财务质量不稳定。营收增长较快（5年CAGR 22%），但未分红，现金流数据缺失，需更多验证。,盈利能力差（ROE负值），盈利波动大，现金流不稳定，无分红记录，商誉和利息覆盖数据缺失，财务风险较高。,关注未来ROE能否转正、现金流改善情况、营收增长可持续性、负债率变化及分红政策。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000008,CN,神州高铁,-,通用,ROE、现金流、资产负债率,-,-,-9.9%,16.7%,-,73.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,排除,High,10年ROE为-9.9%，且波动高达16.7%，近5年全部亏损，净利润波动剧烈。营收5年CAGR为-1.1%，无增长。资产负债率73.9%偏高，未分红。整体财务质量极差，风险显著。,持续亏损风险：近5年每年亏损，盈利能力严重不足。高负债风险：资产负债率73.9%，财务杠杆高。无增长风险：营收负增长，缺乏成长性。无分红回报。,关注能否扭亏为盈，营收是否恢复增长，负债率是否下降，以及现金流是否持续为正。,deepseek-chat,否,规则质量评级与AI评级一致
000009,CN,中国宝安,-,通用,ROE、现金流、资产负债率,-,-,6.8%,4.6%,-,59.8%,-,-,未分红/不适用,7.0%,10,10,100,High,未知,通过,100,谨慎观察,51,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,谨慎观察,Medium,10年ROE仅6.8%，波动4.6%，盈利能力较弱且不稳定；近5年OCF有一次为负，现金流质量存疑；资产负债率59.8%偏高，财务杠杆风险较大；未分红，股东回报不足。营收CAGR 7%尚可，但整体财务质量不够突出。,盈利能力偏低且波动，现金流不稳定，高负债率增加偿债压力，无分红记录可能影响长期投资价值。,关注未来ROE能否提升至10%以上，现金流改善情况，负债率是否下降，以及是否有分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
000011,CN,深物业A,-,通用,ROE、现金流、资产负债率,-,-,22.5%,31.4%,-,79.0%,-,-,未分红/不适用,-16.5%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑,谨慎观察,Medium,ROE较高但波动大，近5年1次亏损，经营现金流4年为负，营收持续下滑，资产负债率79%偏高，未分红。,经营现金流持续为负，营收负增长，高负债率，盈利不稳定，缺乏分红记录。,关注经营现金流能否转正、营收下滑趋势是否改善、负债率变化及盈利稳定性。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000012,CN,南  玻Ａ,-,通用,ROE、现金流、资产负债率,-,-,17.6%,26.5%,-,56.7%,-,-,未分红/不适用,0.1%,10,10,100,High,未知,警惕,85,可跟踪,83,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年ROE波动较大,可跟踪,Medium,10年ROE均值17.6%较高，且近5年无亏损、经营现金流持续为正，显示一定盈利能力与稳定性。但ROE波动26.5%较大，营收5年CAGR仅0.1%，增长停滞，且未分红，现金流数据缺失，整体质量尚可但不够突出。,营收增长近乎停滞，可能面临行业天花板或竞争压力；ROE波动较大，盈利稳定性存疑；未分红可能影响股东回报；资产负债率56.7%适中，但利息覆盖倍数未知，需关注偿债能力。,关注营收增长能否恢复；ROE波动原因及未来趋势；现金流状况及资本开支计划；分红政策变化；行业景气度及公司竞争力。,deepseek-chat,否,规则质量评级与AI评级一致
000014,CN,沙河股份,-,通用,ROE、现金流、资产负债率,-,-,22.9%,32.5%,-,25.0%,-,-,未分红/不适用,-16.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,谨慎观察,Medium,10年ROE均值22.9%看似优秀，但波动极大（32.5%），净利润波动系数2.09，近5年亏损1次且OCF为负2次，现金流不稳定。营收5年CAGR为-16.6%，显示业务萎缩。资产负债率25%较低，但未分红且缺乏利息覆盖数据。整体财务质量不稳定，增长前景堪忧。,主要风险：1) 盈利波动剧烈，ROE和净利润稳定性差；2) 营收持续下滑，业务萎缩；3) 现金流多次为负，自由现金流未披露；4) 未分红，股东回报不足。,关注点：1) 未来营收能否止跌回升；2) 现金流改善情况；3) 盈利稳定性是否提高；4) 公司战略调整或新增长点。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000017,CN,深中华A,-,通用,ROE、现金流、资产负债率,-,-,-0.4%,25.9%,-,17.6%,-,-,未分红/不适用,45.3%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,公司10年ROE均值极低（-0.4%），波动大（25.9%），近5年亏损2次且经营现金流为负3次，财务质量弱。但营收5年CAGR达45.3%，增长较快，资产负债率低（17.6%），无商誉风险。需验证增长可持续性及现金流改善情况。,盈利能力差，ROE长期为负；净利润波动大，近5年多次亏损；经营现金流频繁为负，自由现金流缺失，可能依赖外部融资。,关注营收高增长是否可持续；跟踪经营现金流能否转正；观察净利润能否稳定盈利；评估行业竞争格局及公司竞争力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
