综合优质分,优质池等级,入选来源,优质排序理由,风险扣分,股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
96.5,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE25.8%；ROE波动4.8%；数据质量High；AI优质候选；PE14.95；PB3.45,-,603605,CN,珀莱雅,-,通用,ROE、现金流、资产负债率,14.95,3.45,25.8%,4.8%,-,26.2%,-,-,未分红/不适用,23.0%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE高达25.8%且波动仅4.8%，净利润波动低（0.74），近5年无亏损且经营现金流持续为正，资产负债率仅26.2%，财务质量优秀。营收5年CAGR 23%，增长稳健。,分红稳定性不足（未分红/不适用），可能影响长期股东回报。商誉占比和利息覆盖倍数缺失，需关注潜在并购风险。,关注分红政策变化、商誉及利息覆盖数据披露、行业竞争格局及增长可持续性。,deepseek-chat,否,规则质量评级与AI评级一致
96.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE31.9%；ROE波动3.2%；数据质量High；AI优质候选；PE15.22；PB6.12,-,600519,CN,贵州茅台,-,通用,ROE、现金流、资产负债率,15.22,6.12,31.9%,3.2%,-,16.4%,-,-,未分红/不适用,12.0%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值31.9%且波动仅3.2%，净利润波动0.45，近5年无亏损且经营现金流持续为正，资产负债率仅16.4%，财务质量极优。营收5年CAGR 12%，增长稳健。,未分红可能影响部分投资者偏好；行业政策风险（如限酒令）及消费需求变化需关注；高ROE可持续性需验证。,关注分红政策变化；跟踪营收增速是否维持10%以上；观察毛利率和净利率趋势；留意行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
96.0,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.1%；ROE波动4.5%；数据质量High；AI优质候选；PE8.77；PB2.55,-,603198,CN,迎驾贡酒,-,通用,ROE、现金流、资产负债率,8.77,2.55,22.1%,4.5%,-,22.8%,-,-,未分红/不适用,6.9%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值22.1%，波动仅4.5%，盈利质量高且稳定；净利润波动系数0.51，近5年无亏损且经营现金流持续为正；资产负债率22.8%极低，财务风险小。营收5年CAGR 6.9%稳健增长，现金流健康，具备持续竞争优势。,行业竞争加剧可能影响增长；未分红或反映再投资需求，需关注资本配置效率；营收增速偏低，需验证未来增长动力。,关注营收增速能否提升；跟踪现金流与利润匹配度；观察分红政策变化及资本开支计划。,deepseek-chat,否,规则质量评级与AI评级一致
96.0,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE21.1%；ROE波动3.2%；数据质量High；AI优质候选；PE6.38；PB1.97,-,603369,CN,今世缘,-,通用,ROE、现金流、资产负债率,6.38,1.97,21.1%,3.2%,-,36.0%,-,-,未分红/不适用,12.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均21.1%且波动仅3.2%，净利润波动0.48，近5年无亏损且经营现金流持续为正，资产负债率36%较低，营收5年CAGR 12.3%增长稳健，财务质量优秀。,未分红可能影响收益预期；行业竞争加剧或消费需求变化可能影响增长持续性；需关注现金流与利润匹配度。,关注分红政策变化；跟踪营收增长趋势及利润率稳定性；验证自由现金流质量。,deepseek-chat,否,规则质量评级与AI评级一致
95.6,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE20.1%；ROE波动2.4%；数据质量High；AI优质候选；PE15.07；PB2.30,-,603338,CN,浙江鼎力,-,通用,ROE、现金流、资产负债率,15.07,2.30,20.1%,2.4%,-,34.3%,-,-,未分红/不适用,14.8%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均20.1%且波动仅2.4%，净利润波动0.65，近5年无亏损且经营现金流持续为正，资产负债率34.3%较低，营收5年CAGR 14.8%增长稳健。财务质量、稳定性和增长均突出。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在负债或并购风险；行业竞争及宏观经济波动可能影响增长持续性。,关注未来分红政策变化；补充商誉和利息覆盖数据；跟踪营收增长趋势及现金流质量。,deepseek-chat,否,规则质量评级与AI评级一致
95.5,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE20.4%；ROE波动4.7%；数据质量High；AI优质候选；PE25.90；PB4.51,-,300357,CN,我武生物,-,通用,ROE、现金流、资产负债率,25.90,4.51,20.4%,4.7%,-,6.4%,-,-,未分红/不适用,7.1%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均20.4%且波动仅4.7%，净利润波动0.28，近5年无亏损且经营现金流持续为正，资产负债率仅6.4%，财务质量优秀且稳定。营收CAGR 7.1%虽不突出，但高ROE和低负债显示强大护城河。,营收增速偏低（7.1%），可能面临增长瓶颈；未分红可能影响部分投资者偏好；行业集中度高，需关注产品单一风险。,关注营收增速能否提升；新产品或市场拓展进展；分红政策变化；行业竞争格局演变。,deepseek-chat,否,规则质量评级与AI评级一致
95.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE20.4%；ROE波动3.7%；数据质量High；AI优质候选；PE7.89；PB1.94,-,000596,CN,古井贡酒,-,通用,ROE、现金流、资产负债率,7.89,1.94,20.4%,3.7%,-,31.7%,-,-,未分红/不适用,9.1%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值20.4%且波动仅3.7%，净利润波动0.57，近5年无亏损且经营现金流持续为正，资产负债率31.7%较低，财务质量优秀且稳定。营收5年CAGR 9.1%显示稳健增长。,未分红可能影响部分投资者偏好；行业竞争加剧或消费需求变化可能影响增长持续性；需关注现金流与利润匹配度。,关注分红政策变化；跟踪营收增长趋势及利润率稳定性；验证自由现金流质量。,deepseek-chat,否,规则质量评级与AI评级一致
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.4%；ROE波动2.4%；数据质量High；AI优质候选；PE9.12；PB2.44,-,000848,CN,承德露露,-,通用,ROE、现金流、资产负债率,9.12,2.44,22.4%,2.4%,-,34.3%,-,-,未分红/不适用,5.9%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均22.4%且波动仅2.4%，净利润波动0.19，近5年无亏损且经营现金流持续为正，资产负债率34.3%较低，财务质量优秀且稳定。营收5年CAGR 5.9%增长稳健。,未分红可能影响股东回报；行业竞争加剧或原材料成本波动可能压缩利润；营收增速较低，需关注增长持续性。,关注分红政策变化；跟踪营收增速能否提升；观察成本控制及毛利率趋势。,deepseek-chat,否,规则质量评级与AI评级一致
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE18.1%；ROE波动3.8%；数据质量High；AI优质候选；PE13.18；PB2.74,-,002001,CN,新 和 成,-,通用,ROE、现金流、资产负债率,13.18,2.74,18.1%,3.8%,-,27.7%,-,-,未分红/不适用,10.5%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值18.1%且波动仅3.8%，净利润波动0.50，近5年无亏损且经营现金流持续为正，资产负债率27.7%较低，营收5年CAGR 10.5%稳健增长，财务质量优秀。,分红稳定性不足（未分红/不适用），可能影响长期股东回报；商誉和利息覆盖倍数数据缺失，需关注潜在隐性负债。,关注分红政策变化；补充商誉及利息覆盖数据；跟踪行业竞争格局及研发投入对增长持续性的影响。,deepseek-chat,否,规则质量评级与AI评级一致
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.6%；ROE波动4.6%；数据质量High；AI优质候选；PE29.84；PB5.75,-,002690,CN,美亚光电,-,通用,ROE、现金流、资产负债率,29.84,5.75,22.6%,4.6%,-,18.9%,-,-,未分红/不适用,7.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,连续10年ROE平均22.6%，波动仅4.6%，盈利质量高且稳定；净利润波动系数0.29，近5年无亏损、经营现金流从未为负，财务健康；资产负债率仅18.9%，无商誉风险，财务结构稳健。营收CAGR 7.3%虽不突出，但结合高ROE和低波动，显示可持续竞争优势。,营收增速偏低（7.3%），可能面临增长天花板；未分红可能影响部分投资者偏好；行业竞争或技术迭代需关注。,关注营收增长能否提速；分红政策变化；行业竞争格局及研发投入转化效率。,deepseek-chat,否,规则质量评级与AI评级一致
