"symbol","market","name","industry","pe","pb","year","revenue","net_income","operating_cash_flow","shareholders_equity","total_assets","total_liabilities","capital_expenditure","goodwill","ebit","interest_expense","dividends_paid","non_performing_loan_ratio","solvency_ratio","duration_gap","net_gearing_ratio","roe"
"AAPL","US","Apple","Consumer Electronics","28","35","2016","260","55","70","80","240","120","10","2","70","2","13","","","","","0.55"
"AAPL","US","Apple","Consumer Electronics","28","35","2017","272","59","74","81","246","123","10.5","2","74","2","13.5","","","","","0.57"
"AAPL","US","Apple","Consumer Electronics","28","35","2018","284","63","78","82","252","126","11","2","78","2","14","","","","","0.59"
"AAPL","US","Apple","Consumer Electronics","28","35","2019","296","67","82","83","258","129","11.5","2","82","2","14.5","","","","","0.61"
"AAPL","US","Apple","Consumer Electronics","28","35","2020","308","71","86","84","264","132","12","2","86","2","15","","","","","0.63"
"AAPL","US","Apple","Consumer Electronics","28","35","2021","320","75","90","85","270","135","12.5","2","90","2","15.5","","","","","0.65"
"AAPL","US","Apple","Consumer Electronics","28","35","2022","332","79","94","86","276","138","13","2","94","2","16","","","","","0.67"
"AAPL","US","Apple","Consumer Electronics","28","35","2023","344","83","98","87","282","141","13.5","2","98","2","16.5","","","","","0.69"
"AAPL","US","Apple","Consumer Electronics","28","35","2024","356","87","102","88","288","144","14","2","102","2","17","","","","","0.71"
"AAPL","US","Apple","Consumer Electronics","28","35","2025","368","91","106","89","294","147","14.5","2","106","2","17.5","","","","","0.73"
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2016","100","6","8","120","200","80","8","15","9","3","2","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2017","98","4","-2","120","200","80","8","15","7","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2018","96","-2","-3","120","200","80","8","15","-1","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2019","94","3","1","120","200","80","8","15","5","3","1","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2020","92","-5","-4","120","200","80","8","15","-3","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2021","90","2","-2","120","200","80","8","15","4","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2022","88","-1","2","120","200","80","8","15","1","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2023","86","1","-1","120","200","80","8","15","3","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2024","84","-3","-2","120","200","80","8","15","-2","3","0","","","","",""
"LOWPB","CN","低PB亏损样例","Industrial","7","0.55","2025","82","1","1","120","200","80","8","15","2","3","0","","","","",""
"BANKX","CN","银行样例","Bank","4","0.5","2016","200","30","40","280","5000","4700","5","0","45","10","8","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2017","204","31","41","288","5200","4890","5","0","46","10","8.2","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2018","208","32","42","296","5400","5080","5","0","47","10","8.4","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2019","212","33","43","304","5600","5270","5","0","48","10","8.6","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2020","216","34","44","312","5800","5460","5","0","49","10","8.8","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2021","220","35","45","320","6000","5650","5","0","50","10","9","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2022","224","36","46","328","6200","5840","5","0","51","10","9.2","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2023","228","37","47","336","6400","6030","5","0","52","10","9.4","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2024","232","38","48","344","6600","6220","5","0","53","10","9.6","0.012","","","","0.10"
"BANKX","CN","银行样例","Bank","4","0.5","2025","236","39","49","352","6800","6410","5","0","54","10","9.8","0.012","","","","0.10"
"CYCL","US","周期股样例","Materials","6","1.2","2016","80","4","8","100","220","100","12","8","8","5","0","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2017","130","22","25","100","220","100","12","8","28","5","5","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2018","90","-3","-1","100","220","100","12","8","0","5","0","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2019","180","35","38","100","220","100","12","8","40","5","8","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2020","70","2","4","100","220","100","12","8","5","5","0","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2021","200","40","44","100","220","100","12","8","46","5","8","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2022","95","-2","0","100","220","100","12","8","1","5","0","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2023","160","25","28","100","220","100","12","8","30","5","4","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2024","85","1","3","100","220","100","12","8","4","5","0","","","","",""
"CYCL","US","周期股样例","Materials","6","1.2","2025","190","32","36","100","220","100","12","8","36","5","6","","","","",""
