股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000001,CN,平安银行,-,银行,不良率、拨备覆盖、资本充足率,3.62,0.45,11.1%,1.2%,-,90.7%,-,-,未分红/不适用,-6.1%,10,20,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000002,CN,万  科Ａ,-,通用,ROE、现金流、资产负债率,-1.81,0.39,5.3%,25.7%,-,76.9%,-,-,未分红/不适用,-15.3%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000006,CN,深振业Ａ,-,通用,ROE、现金流、资产负债率,490.95,2.75,-3.1%,29.8%,-,62.5%,-,-,未分红/不适用,-4.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000007,CN,全新好,-,通用,ROE、现金流、资产负债率,-483.20,23.43,-0.3%,43.2%,-,48.0%,-,-,未分红/不适用,22.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000008,CN,神州高铁,-,通用,ROE、现金流、资产负债率,-59.42,3.35,-9.9%,16.7%,-,73.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000009,CN,中国宝安,-,通用,ROE、现金流、资产负债率,285.80,1.99,6.8%,4.6%,-,59.8%,-,-,未分红/不适用,7.0%,10,10,100,High,未知,警惕,85,谨慎观察,51,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000011,CN,深物业A,-,通用,ROE、现金流、资产负债率,-42.34,1.37,22.5%,31.4%,-,79.0%,-,-,未分红/不适用,-16.5%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000012,CN,南  玻Ａ,-,通用,ROE、现金流、资产负债率,-28.30,0.86,17.6%,26.5%,-,56.7%,-,-,未分红/不适用,0.1%,10,10,100,High,未知,警惕,85,可跟踪,83,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
000014,CN,沙河股份,-,通用,ROE、现金流、资产负债率,-83.33,2.05,22.9%,32.5%,-,25.0%,-,-,未分红/不适用,-16.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000017,CN,深中华A,-,通用,ROE、现金流、资产负债率,163.12,10.22,-0.4%,25.9%,-,17.6%,-,-,未分红/不适用,45.3%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000019,CN,深粮控股,-,通用,ROE、现金流、资产负债率,30.35,1.56,8.1%,1.5%,-,32.3%,-,-,未分红/不适用,-14.2%,10,10,100,High,未知,警惕,85,谨慎观察,53,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000020,CN,深华发Ａ,-,通用,ROE、现金流、资产负债率,180.41,8.45,6.3%,8.8%,-,39.0%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,70,谨慎观察,45,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000021,CN,深科技,-,科技,营收增长、自由现金流、研发投入效率,63.22,4.58,7.8%,2.3%,-,39.0%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,科技公司营收增长转负；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000025,CN,特  力Ａ,-,通用,ROE、现金流、资产负债率,49.35,3.53,8.1%,4.3%,-,24.7%,-,-,未分红/不适用,30.2%,10,10,100,High,未知,通过,100,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
000026,CN,飞亚达,-,通用,ROE、现金流、资产负债率,33.40,2.56,7.8%,3.2%,-,10.6%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,长期ROE偏低但PE不低；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000027,CN,深圳能源,-,通用,ROE、现金流、资产负债率,7.13,1.07,6.0%,3.3%,-,62.0%,-,-,未分红/不适用,7.7%,10,10,100,High,未知,通过,100,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
000028,CN,国药一致,-,通用,ROE、现金流、资产负债率,11.59,0.71,9.8%,3.1%,-,56.0%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,通过,100,可跟踪,83,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,,,,,,,未评估,暂无AI独立评估
000029,CN,深深房Ａ,-,通用,ROE、现金流、资产负债率,-1778.88,7.73,6.0%,7.8%,-,10.6%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,排除,0,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000030,CN,富奥股份,-,通用,ROE、现金流、资产负债率,16.38,0.96,11.4%,3.1%,-,49.3%,-,-,未分红/不适用,7.9%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
000031,CN,大悦城,-,通用,ROE、现金流、资产负债率,-13.33,1.15,3.6%,24.6%,-,77.3%,-,-,未分红/不适用,-7.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000032,CN,深桑达Ａ,-,通用,ROE、现金流、资产负债率,-74.14,3.31,4.5%,4.2%,-,81.7%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000034,CN,神州数码,-,通用,ROE、现金流、资产负债率,32.48,2.74,13.2%,6.0%,-,79.4%,-,-,未分红/不适用,4.1%,10,10,100,High,未知,警惕,85,谨慎观察,50,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长达到行业较好水平,资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000035,CN,中国天楹,-,通用,ROE、现金流、资产负债率,32.73,1.35,5.6%,3.1%,-,65.4%,-,-,未分红/不适用,-28.8%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,长期ROE偏低但PE不低；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000036,CN,华联控股,-,通用,ROE、现金流、资产负债率,74.94,1.52,22.9%,24.8%,-,24.2%,-,-,未分红/不适用,-24.2%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000037,CN,深南电A,-,通用,ROE、现金流、资产负债率,126.94,3.61,-0.9%,33.3%,-,23.2%,-,-,未分红/不适用,-14.7%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000039,CN,中集集团,-,通用,ROE、现金流、资产负债率,74.64,1.34,19.5%,29.3%,-,59.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
000042,CN,中洲控股,-,通用,ROE、现金流、资产负债率,-25.80,3.02,3.3%,39.1%,-,94.5%,-,-,未分红/不适用,-26.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000045,CN,深纺织Ａ,-,通用,ROE、现金流、资产负债率,68.76,2.03,-0.9%,40.7%,-,20.8%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000048,CN,京基智农,-,通用,ROE、现金流、资产负债率,-8.17,2.01,34.2%,32.4%,-,59.0%,-,-,未分红/不适用,10.9%,10,10,100,High,未知,警惕,70,可跟踪,69,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000049,CN,德赛电池,-,通用,ROE、现金流、资产负债率,31.28,1.47,19.9%,8.6%,-,60.6%,-,-,未分红/不适用,3.6%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值19.9%较高，但波动8.6%偏大；净利润波动0.42较小，近5年无亏损且经营现金流持续为正，显示盈利稳定。但营收增长缓慢（5年CAGR仅3.6%），且资产负债率60.6%偏高，未分红。整体财务质量尚可，但增长动力不足。,资产负债率60.6%偏高，财务杠杆风险；营收增长缓慢，可能面临行业天花板；未分红，股东回报不足。,关注营收增长能否提速；资产负债率变化趋势；未来分红政策是否改善；行业竞争格局及新业务拓展情况。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000050,CN,深天马Ａ,-,通用,ROE、现金流、资产负债率,-32.71,0.67,10.0%,22.1%,-,61.6%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000055,CN,方大集团,-,通用,ROE、现金流、资产负债率,34.46,0.70,15.5%,20.8%,-,55.4%,-,-,未分红/不适用,-1.3%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
