股票,市场,名称,预期类别,校准通过,失败原因,当前结果,规则质量评级,规则质量分,AI评级,数据年数,数据质量分,数据质量,综合优质分,优质池等级,入选来源,风险扣分,综合观察,校准说明
KO,US,Coca-Cola,高质量,是,-,警惕,优质候选,95,优质候选,4,80,Medium,74.0,可研究池,规则质量优质候选；AI优质候选,短历史封顶；排雷需关注,规则与AI均认可财务质量，排雷侧主要提示杠杆风险；可视为高质量消费公司需关注负债的典型情形；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度,高质量消费龙头，杠杆或短历史可以降级但不应排除
MSFT,US,Microsoft,高质量,是,-,通过,优质候选,100,优质候选,4,80,Medium,78.0,优质池,规则通过；规则质量优质候选；AI优质候选,短历史封顶,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度,高质量科技龙头，至少应进入优质池
AAPL,US,Apple,高质量,是,-,警惕,优质候选,93,-,4,80,Medium,68.9,可研究池,规则质量优质候选,短历史封顶；排雷需关注,暂无AI独立评估,高质量科技龙头，若未入优质池应暴露为校准问题
COST,US,Costco,高质量,是,-,通过,优质候选,100,优质候选,4,80,Medium,78.0,优质池,规则通过；规则质量优质候选；AI优质候选,短历史封顶,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度,高质量零售龙头，估值可降级但不应被排除
PG,US,Procter & Gamble,高质量,是,-,警惕,优质候选,93,优质候选,4,80,Medium,74.0,可研究池,规则质量优质候选；AI优质候选,短历史封顶；排雷需关注,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度,高质量消费龙头，负债风险应是关注项而非硬排除
600519,CN,贵州茅台,高质量,是,-,通过,优质候选,100,优质候选,10,100,High,96.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,-,规则质量评级与AI评级一致,A股高质量消费龙头，应保持核心优质池
603605,CN,珀莱雅,高质量,是,-,通过,优质候选,100,优质候选,10,100,High,96.5,核心优质池,规则通过；规则质量优质候选；AI优质候选,-,规则质量评级与AI评级一致,A股高质量成长消费样本，应保持核心优质池
688256,CN,寒武纪,争议成长,是,-,排除,排除,20,-,9,100,High,,未入池,,,暂无AI独立评估,高热度成长股但当前财务质量争议大，不应进入核心优质池或优质池
000002,CN,万科A,高风险,是,-,排除,排除,20,-,10,100,High,,未入池,,,暂无AI独立评估,高负债地产样本，不应进入长期优质池
FNKO,US,Funko,高风险,是,-,排除,排除,20,-,4,80,Medium,,未入池,,,暂无AI独立评估,利润和现金流风险样本，不应进入长期优质池
AMPG,US,Amplitech,高风险,是,-,排除,排除,20,-,4,80,Medium,,未入池,,,暂无AI独立评估,亏损和现金流风险样本，不应进入长期优质池
ARKO,US,ARKO,高风险,是,-,排除,排除,20,-,4,80,Medium,,未入池,,,暂无AI独立评估,高杠杆低质量样本，不应进入长期优质池
SPG,US,Simon Property,争议样本,是,-,需专项分析,需专项分析,45,-,4,80,Medium,,未入池,,,暂无AI独立评估,REIT和高杠杆专项分析样本，不应被当作普通核心优质公司
