股票,市场,名称,预期类别,最低优质池等级,允许结果,禁止优质池等级,说明
KO,US,Coca-Cola,高质量,可研究池,通过|警惕,,高质量消费龙头，杠杆或短历史可以降级但不应排除
MSFT,US,Microsoft,高质量,优质池,通过|警惕,,高质量科技龙头，至少应进入优质池
AAPL,US,Apple,高质量,可研究池,通过|警惕,,高质量科技龙头，若未入优质池应暴露为校准问题
COST,US,Costco,高质量,优质池,通过|警惕,,高质量零售龙头，估值可降级但不应被排除
PG,US,Procter & Gamble,高质量,可研究池,通过|警惕,,高质量消费龙头，负债风险应是关注项而非硬排除
600519,CN,贵州茅台,高质量,核心优质池,通过|警惕,,A股高质量消费龙头，应保持核心优质池
603605,CN,珀莱雅,高质量,核心优质池,通过|警惕,,A股高质量成长消费样本，应保持核心优质池
688256,CN,寒武纪,争议成长,,排除|警惕|需专项分析|数据不足,核心优质池|优质池,高热度成长股但当前财务质量争议大，不应进入核心优质池或优质池
000002,CN,万科A,高风险,,排除|警惕|需专项分析|数据不足,核心优质池|优质池,高负债地产样本，不应进入长期优质池
FNKO,US,Funko,高风险,,排除|警惕|需专项分析|数据不足,核心优质池|优质池,利润和现金流风险样本，不应进入长期优质池
AMPG,US,Amplitech,高风险,,排除|警惕|需专项分析|数据不足,核心优质池|优质池,亏损和现金流风险样本，不应进入长期优质池
ARKO,US,ARKO,高风险,,排除|警惕|需专项分析|数据不足,核心优质池|优质池,高杠杆低质量样本，不应进入长期优质池
SPG,US,Simon Property,争议样本,,排除|警惕|需专项分析|数据不足,核心优质池,REIT和高杠杆专项分析样本，不应被当作普通核心优质公司
