股票,市场,名称,行业模型,优质池等级,综合优质分,基础理论分,去短历史封顶分,去短历史封顶等级,是否因历史数据封顶,是否因历史数据受限,是否因排雷状态扣分,是否因规则AI分歧扣分,封顶原因,规则质量评级,规则质量分,AI评级,数据年数,历史可信度,数据质量,数据质量分,风险扣分,质量理由,综合观察
CPRX,US,"Catalyst Pharmaceuticals, Inc. - Common Stock",科技,优质池,78.0,95.1,95.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
DECK,US,Deckers Outdoor Corporation Common Stock,通用,优质池,78.0,95.1,95.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GRBK,US,"Green Brick Partners, Inc. Common Stock",周期,优质池,78.0,94.9,94.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ASR,US,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",通用,优质池,78.0,94.4,94.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
IPAR,US,"Interparfums, Inc. - Common Stock",消费,优质池,78.0,94.4,94.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LOPE,US,"Grand Canyon Education, Inc. - Common Stock",通用,优质池,78.0,94.4,94.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GSL,US,Global Ship Lease Inc New Class A Common Shares,周期,优质池,78.0,94.2,94.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
KARO,US,Karooooo Ltd. - Ordinary shares,科技,优质池,78.0,94.2,94.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
QLYS,US,"Qualys, Inc. - Common Stock",科技,优质池,78.0,94.2,94.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
IRMD,US,iRadimed Corporation - Common Stock,通用,优质池,78.0,94.1,94.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
